beta,delta,mape
0.8072,0.3648,0.05183132365345955
0.8072,0.3964,0.062038715928792953
0.8072,0.4280,0.08014848828315735
0.8072,0.4596,0.08709856122732162
0.8072,0.4912,0.08573891967535019
0.8072,0.5228,0.07969372719526291
0.8072,0.5544,0.06708486378192902
0.8072,0.5860,0.050084784626960754
0.8072,0.6176,0.05407290533185005
0.8072,0.6492,0.08019465953111649
0.8072,0.6808,0.10590856522321701
0.8072,0.7124,0.12993039190769196
0.8072,0.7440,0.15486399829387665
0.8072,0.7756,0.17841392755508423
0.8072,0.8072,0.19857168197631836
0.8072,0.8388,0.2157737761735916
0.8072,0.8704,0.23460344970226288
0.8072,0.9020,0.2543947398662567
0.8072,0.9336,0.26646193861961365
0.8072,0.9652,0.26581886410713196
0.8072,0.9968,0.24346569180488586
0.8072,1.0284,0.25541800260543823
0.8072,1.0600,0.2721392512321472
0.8072,1.0916,0.29512864351272583
0.8072,1.1232,0.3099842071533203
0.8072,1.1548,0.34957247972488403
0.8072,1.1864,0.40670716762542725
0.8072,1.2180,0.46310359239578247
0.8388,0.2700,0.2556712031364441
0.8388,0.3016,0.16655868291854858
0.8388,0.3332,0.11607157438993454
0.8388,0.3648,0.09003227204084396
0.8388,0.3964,0.0930243507027626
0.8388,0.4280,0.1023498922586441
0.8388,0.4596,0.09965237975120544
0.8388,0.4912,0.09181507676839828
0.8388,0.5228,0.08722414821386337
0.8388,0.5544,0.08169317245483398
0.8388,0.5860,0.0629100501537323
0.8388,0.6176,0.05922237038612366
0.8388,0.6492,0.0690181627869606
0.8388,0.6808,0.08280004560947418
0.8388,0.7124,0.09794017672538757
0.8388,0.7440,0.11640416085720062
0.8388,0.7756,0.1399436742067337
0.8388,0.8072,0.15559141337871552
0.8388,0.8388,0.1718144416809082
0.8388,0.8704,0.19311939179897308
0.8388,0.9020,0.2160312533378601
0.8388,0.9336,0.23954792320728302
0.8388,0.9652,0.25759607553482056
0.8388,0.9968,0.26623865962028503
0.8388,1.0284,0.2663567364215851
0.8388,1.0600,0.2592712342739105
0.8388,1.0916,0.31682929396629333
0.8388,1.1232,0.3450198769569397
0.8388,1.1548,0.3803541362285614
0.8388,1.1864,0.4321804642677307
0.8388,1.2180,0.5062406063079834
0.8704,0.2700,0.3417493999004364
0.8704,0.3016,0.2492862492799759
0.8704,0.3332,0.18331575393676758
0.8704,0.3648,0.14719527959823608
0.8704,0.3964,0.13514256477355957
0.8704,0.4280,0.13079065084457397
0.8704,0.4596,0.1128726378083229
0.8704,0.4912,0.09606969356536865
0.8704,0.5228,0.08813182264566422
0.8704,0.5544,0.08773455768823624
0.8704,0.5860,0.07308448106050491
0.8704,0.6176,0.07860606163740158
0.8704,0.6492,0.09359507262706757
0.8704,0.6808,0.10438114404678345
0.8704,0.7124,0.11362739652395248
0.8704,0.7440,0.12311938405036926
0.8704,0.7756,0.13718779385089874
0.8704,0.8072,0.1494603008031845
0.8704,0.8388,0.15999113023281097
0.8704,0.8704,0.17475160956382751
0.8704,0.9020,0.19232060015201569
